episode_id,instance_id,seed,incumbent_ref,episode_path,num_events,num_arrivals,num_breakdowns,first_event_time,last_event_time
syn_50x15_03_seed02_ep001,syn_50x15_03,2,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_03_seed02.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_03_seed02_ep001.json,8,4,4,876.3667542125547,3119.287418257829
syn_50x15_03_seed03_ep001,syn_50x15_03,3,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_03_seed03.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_03_seed03_ep001.json,8,4,4,818.0535869787017,2888.322695537708
syn_50x15_03_seed04_ep001,syn_50x15_03,4,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_03_seed04.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_03_seed04_ep001.json,8,4,4,605.6396549166014,2912.8600637163777
syn_50x15_04_seed00_ep001,syn_50x15_04,0,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_04_seed00.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_04_seed00_ep001.json,8,4,4,979.3554779104991,3625.9823437638515
syn_50x15_04_seed01_ep001,syn_50x15_04,1,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_04_seed01.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_04_seed01_ep001.json,8,4,4,967.1350200979138,3387.9199314227135
syn_50x15_04_seed02_ep001,syn_50x15_04,2,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_04_seed02.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_04_seed02_ep001.json,8,4,4,1042.9860812534134,3712.3422870999675
syn_50x15_04_seed03_ep001,syn_50x15_04,3,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_04_seed03.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_04_seed03_ep001.json,8,4,4,973.5861165852422,3437.4653706723348
syn_50x15_04_seed04_ep001,syn_50x15_04,4,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_04_seed04.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_04_seed04_ep001.json,8,4,4,720.7869619617372,3466.667908716967
syn_50x15_05_seed00_ep001,syn_50x15_05,0,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_05_seed00.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_05_seed00_ep001.json,8,4,4,918.6858124870967,3401.3579447696575
syn_50x15_05_seed01_ep001,syn_50x15_05,1,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_05_seed01.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_05_seed01_ep001.json,8,4,4,907.2223944864418,3178.043156996301
syn_50x15_05_seed02_ep001,syn_50x15_05,2,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_05_seed02.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_05_seed02_ep001.json,8,4,4,978.3745913315763,3482.368013635918
syn_50x15_05_seed03_ep001,syn_50x15_05,3,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_05_seed03.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_05_seed03_ep001.json,8,4,4,913.273854810673,3224.5193274356407
syn_50x15_05_seed04_ep001,syn_50x15_05,4,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_05_seed04.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_05_seed04_ep001.json,8,4,4,676.1352447761969,3251.9128101855986
